"mpg","cylinders","displacement","horsepower","weight","acceleration","model","origin","car"
33,4,91,32,1795,17.4,76,3,"honda civic"
20,6,225,2,3651,17.7,76,1,"dodge aspen se"
18,6,250,50,3574,21,76,1,"ford granada ghia"
18.5,6,250,7,3645,16.2,76,1,"pontiac ventura sj"
17.5,6,258,62,3193,17.8,76,1,"amc pacer d/l"
29.5,4,97,44,1825,12.2,76,2,"volkswagen rabbit"
32,4,85,43,1990,17,76,3,"datsun b-210"
28,4,97,47,2155,16.4,76,3,"toyota corolla"
26.5,4,140,45,2565,13.6,76,1,"ford pinto"
20,4,130,3,3150,15.7,76,2,"volvo 245"
13,8,318,24,3940,13.2,76,1,"plymouth volare premier v8"
19,4,120,58,3270,21.9,76,2,"peugeot 504"
19,6,156,6,2930,15.5,76,3,"toyota mark ii"
16.5,6,168,11,3820,16.7,76,2,"mercedes-benz 280s"
16.5,8,350,28,4380,12.1,76,1,"cadillac seville"
13,8,350,22,4055,12,76,1,"chevy c10"
13,8,302,14,3870,15,76,1,"ford f108"
13,8,318,24,3755,14,76,1,"dodge d100"
31.5,4,98,41,2045,18.5,77,3,"honda accord cvcc"
30,4,111,52,2155,14.8,77,1,"buick opel isuzu deluxe"
36,4,79,33,1825,18.6,77,2,"renault 5 gtl"
25.5,4,122,63,2300,15.5,77,1,"plymouth arrow gs"
33.5,4,85,43,1945,16.8,77,3,"datsun f-10 hatchback"
17.5,8,305,22,3880,12.5,77,1,"chevrolet caprice classic"
17,8,260,7,4060,19,77,1,"oldsmobile cutlass supreme"
15.5,8,318,22,4140,13.7,77,1,"dodge monaco brougham"
15,8,302,14,4295,14.9,77,1,"mercury cougar brougham"
17.5,6,250,7,3520,16.4,77,1,"chevrolet concours"
20.5,6,231,5,3425,16.9,77,1,"buick skylark"
19,6,225,2,3630,17.7,77,1,"plymouth volare custom"
18.5,6,250,65,3525,19,77,1,"ford granada"
16,8,400,28,4220,11.1,77,1,"pontiac grand prix lj"
15.5,8,350,27,4165,11.4,77,1,"chevrolet monte carlo landau"
15.5,8,400,29,4325,12.2,77,1,"chrysler cordoba"
16,8,351,23,4335,14.5,77,1,"ford thunderbird"
29,4,97,50,1940,14.5,77,2,"volkswagen rabbit custom"
24.5,4,151,58,2740,16,77,1,"pontiac sunbird coupe"
26,4,97,47,2265,18.2,77,3,"toyota corolla liftback"
25.5,4,140,59,2755,15.8,77,1,"ford mustang ii 2+2"
30.5,4,98,36,2051,17,77,1,"chevrolet chevette"
33.5,4,98,54,2075,15.9,77,1,"dodge colt m/m"
30,4,97,40,1985,16.4,77,3,"subaru dl"
30.5,4,97,50,2190,14.1,77,2,"volkswagen dasher"
22,6,146,64,2815,14.5,77,3,"datsun 810"
21.5,4,121,7,2600,12.8,77,2,"bmw 320i"
21.5,3,80,7,2720,13.5,77,3,"mazda rx-4"
43.1,4,90,30,1985,21.5,78,2,"volkswagen rabbit custom diesel"
36.1,4,98,39,1800,14.4,78,1,"ford fiesta"
32.8,4,78,31,1985,19.4,78,3,"mazda glc deluxe"
39.4,4,85,43,2070,18.6,78,3,"datsun b210 gx"
36.1,4,91,34,1800,16.4,78,3,"honda civic cvcc"
19.9,8,260,7,3365,15.5,78,1,"oldsmobile cutlass salon brougham"
19.4,8,318,20,3735,13.2,78,1,"dodge diplomat"
20.2,8,302,19,3570,12.8,78,1,"mercury monarch ghia"
19.2,6,231,5,3535,19.2,78,1,"pontiac phoenix lj"
20.5,6,200,62,3155,18.2,78,1,"chevrolet malibu"
20.2,6,200,56,2965,15.8,78,1,"ford fairmont (auto)"
25.1,4,140,58,2720,15.4,78,1,"ford fairmont (man)"
20.5,6,225,2,3430,17.2,78,1,"plymouth volare"
19.4,6,232,60,3210,17.2,78,1,"amc concord"
20.6,6,231,5,3380,15.8,78,1,"buick century special"
20.8,6,200,56,3070,16.7,78,1,"mercury zephyr"
18.6,6,225,7,3620,18.7,78,1,"dodge aspen"
18.1,6,258,11,3410,15.1,78,1,"amc concord d/l"
19.2,8,305,22,3425,13.2,78,1,"chevrolet monte carlo landau"
17.7,6,231,26,3445,13.4,78,1,"buick regal sport coupe (turbo)"
18.1,8,302,19,3205,11.2,78,1,"ford futura"
17.5,8,318,20,4080,13.7,78,1,"dodge magnum xe"
30,4,98,41,2155,16.5,78,1,"chevrolet chevette"
27.5,4,134,62,2560,14.2,78,3,"toyota corona"
27.2,4,119,64,2300,14.7,78,3,"datsun 510"
30.9,4,105,47,2230,14.5,78,1,"dodge omni"
21.1,4,134,62,2515,14.8,78,3,"toyota celica gt liftback"
23.2,4,156,5,2745,16.7,78,1,"plymouth sapporo"
23.8,4,151,56,2855,17.6,78,1,"oldsmobile starfire sx"
23.9,4,119,64,2405,14.9,78,3,"datsun 200-sx"
20.3,5,131,4,2830,15.9,78,2,"audi 5000"
17,6,163,12,3140,13.6,78,2,"volvo 264gl"
21.6,4,121,9,2795,15.7,78,2,"saab 99gle"
16.2,6,163,16,3410,15.8,78,2,"peugeot 604sl"
31.5,4,89,44,1990,14.9,78,2,"volkswagen scirocco"
29.5,4,98,41,2135,16.6,78,3,"honda accord lx"
21.5,6,231,9,3245,15.4,79,1,"pontiac lemans v6"
19.8,6,200,56,2990,18.2,79,1,"mercury zephyr 6"
22.3,4,140,58,2890,17.3,79,1,"ford fairmont 4"
20.2,6,232,60,3265,18.2,79,1,"amc concord dl 6"
20.6,6,225,7,3360,16.6,79,1,"dodge aspen 6"
17,8,305,14,3840,15.4,79,1,"chevrolet caprice classic"
17.6,8,302,13,3725,13.4,79,1,"ford ltd landau"
16.5,8,351,18,3955,13.2,79,1,"mercury grand marquis"
18.2,8,318,17,3830,15.2,79,1,"dodge st. regis"
16.9,8,350,25,4360,14.9,79,1,"buick estate wagon (sw)"
15.5,8,351,21,4054,14.3,79,1,"ford country squire (sw)"
19.2,8,267,12,3605,15,79,1,"chevrolet malibu classic (sw)"
18.5,8,360,24,3940,13,79,1,"chrysler lebaron town @ country (sw)"
31.9,4,89,44,1925,14,79,2,"vw rabbit custom"
34.1,4,86,38,1975,15.2,79,3,"maxda glc deluxe"
35.7,4,98,52,1915,14.4,79,1,"dodge colt hatchback custom"
27.4,4,121,52,2670,15,79,1,"amc spirit dl"
25.4,5,183,49,3530,20.1,79,2,"mercedes benz 300d"
23,8,350,12,3900,17.4,79,1,"cadillac eldorado"
27.2,4,141,44,3190,24.8,79,2,"peugeot 504"
23.9,8,260,60,3420,22.2,79,1,"oldsmobile cutlass salon brougham"
34.2,4,105,43,2200,13.2,79,1,"plymouth horizon"
34.5,4,105,43,2150,14.9,79,1,"plymouth horizon tc3"
31.8,4,85,38,2020,19.2,79,3,"datsun 210"
37.3,4,91,42,2130,14.7,79,2,"fiat strada custom"
28.4,4,151,60,2670,16,79,1,"buick skylark limited"
28.8,6,173,9,2595,11.3,79,1,"chevrolet citation"
26.8,6,173,9,2700,12.9,79,1,"oldsmobile omega brougham"
33.5,4,151,60,2556,13.2,79,1,"pontiac phoenix"
41.5,4,98,48,2144,14.7,80,2,"vw rabbit"
38.1,4,89,34,1968,18.8,80,3,"toyota corolla tercel"
32.1,4,98,43,2120,15.5,80,1,"chevrolet chevette"
37.2,4,86,38,2019,16.4,80,3,"datsun 310"
28,4,151,60,2678,16.5,80,1,"chevrolet citation"
26.4,4,140,58,2870,18.1,80,1,"ford fairmont"
24.3,4,151,60,3003,20.1,80,1,"amc concord"
19.1,6,225,60,3381,18.7,80,1,"dodge aspen"
34.3,4,97,50,2188,15.8,80,2,"audi 4000"
29.8,4,134,60,2711,15.5,80,3,"toyota corona liftback"
31.3,4,120,47,2542,17.5,80,3,"mazda 626"
37,4,119,61,2434,15,80,3,"datsun 510 hatchback"
32.2,4,108,47,2265,15.2,80,3,"toyota corolla"
46.6,4,86,38,2110,17.9,80,3,"mazda glc"
27.9,4,156,5,2800,14.4,80,1,"dodge colt"
40.8,4,85,38,2110,19.2,80,3,"datsun 210"
44.3,4,90,30,2085,21.7,80,2,"vw rabbit c (diesel)"
43.4,4,90,30,2335,23.7,80,2,"vw dasher (diesel)"
36.4,5,121,40,2950,19.9,80,2,"audi 5000s (diesel)"
30,4,146,40,3250,21.8,80,2,"mercedes-benz 240d"
44.6,4,91,40,1850,13.8,80,3,"honda civic 1500 gl"
40.9,4,85,NA,1835,17.3,80,2,"renault lecar deluxe"
33.8,4,97,40,2145,18,80,3,"subaru dl"
29.8,4,89,35,1845,15.3,80,2,"vokswagen rabbit"
32.7,6,168,15,2910,11.4,80,3,"datsun 280-zx"
23.7,3,70,2,2420,12.5,80,3,"mazda rx-7 gs"
35,4,122,58,2500,15.1,80,2,"triumph tr7 coupe"
23.6,4,140,NA,2905,14.3,80,1,"ford mustang cobra"
32.4,4,107,45,2290,17,80,3,"honda accord"
27.2,4,135,55,2490,15.7,81,1,"plymouth reliant"
26.6,4,151,55,2635,16.4,81,1,"buick skylark"
25.8,4,156,61,2620,14.4,81,1,"dodge aries wagon (sw)"
23.5,6,173,7,2725,12.6,81,1,"chevrolet citation"
30,4,135,55,2385,12.9,81,1,"plymouth reliant"
39.1,4,79,33,1755,16.9,81,3,"toyota starlet"
39,4,86,37,1875,16.4,81,1,"plymouth champ"
35.1,4,81,34,1760,16.1,81,3,"honda civic 1300"
32.3,4,97,40,2065,17.8,81,3,"subaru"
37,4,85,38,1975,19.4,81,3,"datsun 210 mpg"
37.7,4,89,35,2050,17.3,81,3,"toyota tercel"
34.1,4,91,41,1985,16,81,3,"mazda glc 4"
34.7,4,105,36,2215,14.9,81,1,"plymouth horizon 4"
34.4,4,98,38,2045,16.2,81,1,"ford escort 4w"
29.9,4,98,38,2380,20.7,81,1,"ford escort 2h"
33,4,105,46,2190,14.2,81,2,"volkswagen jetta"
34.5,4,100,NA,2320,15.8,81,2,"renault 18i"
33.7,4,107,47,2210,14.4,81,3,"honda prelude"
32.4,4,108,47,2350,16.8,81,3,"toyota corolla"
32.9,4,119,2,2615,14.8,81,3,"datsun 200sx"
31.6,4,120,46,2635,18.3,81,3,"mazda 626"
28.1,4,141,52,3230,20.4,81,2,"peugeot 505s turbo diesel"
30.7,6,145,48,3160,19.6,81,2,"volvo diesel"
25.4,6,168,10,2900,12.6,81,3,"toyota cressida"
24.2,6,146,11,2930,13.8,81,3,"datsun 810 maxima"
22.4,6,231,7,3415,15.8,81,1,"buick century"
26.6,8,350,5,3725,19,81,1,"oldsmobile cutlass ls"
20.2,6,200,58,3060,17.1,81,1,"ford granada gl"
17.6,6,225,56,3465,16.6,81,1,"chrysler lebaron salon"
28,4,112,58,2605,19.6,82,1,"chevrolet cavalier"
27,4,112,58,2640,18.6,82,1,"chevrolet cavalier wagon"
34,4,112,58,2395,18,82,1,"chevrolet cavalier 2-door"
31,4,112,56,2575,16.2,82,1,"pontiac j2000 se hatchback"
29,4,135,55,2525,16,82,1,"dodge aries se"
27,4,151,60,2735,18,82,1,"pontiac phoenix"
24,4,140,61,2865,16.4,82,1,"ford fairmont futura"
23,4,151,NA,3035,20.5,82,1,"amc concord dl"
36,4,105,46,1980,15.3,82,2,"volkswagen rabbit l"
37,4,91,41,2025,18.2,82,3,"mazda glc custom l"
31,4,91,41,1970,17.6,82,3,"mazda glc custom"
38,4,105,36,2125,14.7,82,1,"plymouth horizon miser"
36,4,98,43,2125,17.3,82,1,"mercury lynx l"
36,4,120,58,2160,14.5,82,3,"nissan stanza xe"
36,4,107,47,2205,14.5,82,3,"honda accord"
34,4,108,43,2245,16.9,82,3,"toyota corolla"
38,4,91,40,1965,15,82,3,"honda civic"
32,4,91,40,1965,15.7,82,3,"honda civic (auto)"
38,4,91,40,1995,16.2,82,3,"datsun 310 gx"
25,6,181,7,2945,16.4,82,1,"buick century limited"
38,6,262,56,3015,17,82,1,"oldsmobile cutlass ciera (diesel)"
26,4,156,61,2585,14.5,82,1,"chrysler lebaron medallion"
22,6,232,8,2835,14.7,82,1,"ford granada l"
32,4,144,63,2665,13.9,82,3,"toyota celica gt"
36,4,135,55,2370,13,82,1,"dodge charger 2.2"
27,4,151,60,2950,17.3,82,1,"chevrolet camaro"
27,4,140,57,2790,15.6,82,1,"ford mustang gl"
44,4,97,31,2130,24.6,82,2,"vw pickup"
32,4,135,55,2295,11.6,82,1,"dodge rampage"
28,4,120,51,2625,18.6,82,1,"ford ranger"
31,4,119,53,2720,19.4,82,1,"chevy s-10"
